FC Code,LS Code,Cap,Real Cap,Adjusted Cap
FC-0102,1,43,93,102
FC-0102,2,17,67,73
FC-0102,3,0,50,55
FC-0102,4,0,50,55
FC-0102,5,0,50,55
FC-0102,6,47,97,106
FC-0201,1,0,50,55
FC-0201,2,0,50,55
FC-0201,3,41,91,100
FC-0201,4,4,54,59
FC-0201,5,48,98,107
FC-0201,6,33,83,91
FC-0306,1,29,79,86
FC-0306,2,0,50,55
FC-0306,3,36,86,94
FC-0306,4,0,50,55
FC-0306,5,29,79,86
FC-0306,6,45,95,104
FC-0412,1,0,50,55
FC-0412,2,4,54,59
FC-0412,3,42,92,101
FC-0412,4,12,62,68
FC-0412,5,11,61,67
FC-0412,6,0,50,55
FC-0412,7,0,50,55
FC-0503,1,35,85,93
FC-0503,2,23,73,80
FC-0503,3,0,50,55
FC-0503,4,44,94,103
FC-0503,5,29,79,86
FC-0503,6,36,86,94
FC-0601,1,36,86,94
FC-0601,2,29,79,86
FC-0601,3,34,84,92
FC-0601,4,0,50,55
FC-0601,5,0,50,55
FC-0601,6,38,88,96
FC-0701,1,0,50,55
FC-0701,2,0,50,55
FC-0701,3,0,50,55
FC-0701,4,42,92,101
FC-0701,5,29,79,86
FC-0801,1,33,83,91
FC-0801,2,16,66,72
FC-0801,3,40,90,99
FC-0801,4,29,79,86
FC-0801,5,0,50,55
FC-0801,6,50,100,110
FC-0801,7,41,91,100
