FC Code,LS Code,Adjusted Cap
FC-0102,1,102
FC-0102,2,73
FC-0102,3,55
FC-0102,4,55
FC-0102,5,55
FC-0102,6,106
FC-0201,1,55
FC-0201,2,55
FC-0201,3,100
FC-0201,4,59
FC-0201,5,107
FC-0201,6,91
FC-0306,1,86
FC-0306,2,55
FC-0306,3,94
FC-0306,4,55
FC-0306,5,86
FC-0306,6,104
FC-0412,1,55
FC-0412,2,59
FC-0412,3,101
FC-0412,4,68
FC-0412,5,67
FC-0412,6,55
FC-0412,7,55
FC-0503,1,93
FC-0503,2,80
FC-0503,3,55
FC-0503,4,103
FC-0503,5,86
FC-0503,6,94
FC-0601,1,94
FC-0601,2,86
FC-0601,3,92
FC-0601,4,55
FC-0601,5,55
FC-0601,6,96
FC-0701,1,55
FC-0701,2,55
FC-0701,3,55
FC-0701,4,101
FC-0701,5,86
FC-0801,1,91
FC-0801,2,72
FC-0801,3,99
FC-0801,4,86
FC-0801,5,55
FC-0801,6,110
FC-0801,7,100
